label.delta,label.k_dn,label.k_up,label.n_v,label.t_fill_min,signal.k_h,signal,n_events,fill_rate,n_filled,mean_ret_net,t_stat,win_rate,bt_n_trades,bt_total_return,bt_sharpe,trial_hash,daily_sr,n_days,skew,kurt
0.0,1.0,1.0,4,60,2.0,dip,23979,0.8955335918929063,21474,-0.0015022226548869325,-45.36764118074879,0.3941044984632579,5968,-0.9999284618899891,-5.1989859985681575,6bda0bcc4bcb,-0.27212736448621444,3327,-4.2908607209003256,38.554272633305196
0.0,1.0,1.0,4,60,2.0,breakout,25239,0.9038789175482388,22813,-0.0019096132852997815,-54.83527671846715,0.3611537281374655,2108,-0.9999631710651182,-4.314291219372288,6bda0bcc4bcb,-0.22582032332403593,3327,-6.542907048919398,68.1913954059898
0.0,1.0,1.0,4,60,3.0,dip,14106,0.8916064086204452,12577,-0.001519093989566035,-34.983190973926185,0.3989027590045321,5299,-0.9997824348801665,-5.4733929499861365,ce5878bee792,-0.28649048077593653,3327,-3.400657892692215,35.46869526000067
0.0,1.0,1.0,4,60,3.0,breakout,14882,0.9093535815078618,13533,-0.0019613648878203387,-41.89092708480839,0.35875267863740484,2861,-0.9999321673418526,-4.865046989144131,ce5878bee792,-0.254648197864353,3327,-6.665346481201779,74.72628688937685
0.0,1.0,1.0,4,60,4.0,dip,9200,0.8972826086956521,8255,-0.0015715036316956298,-29.278305971503652,0.39139915202907327,5290,-0.9997013122887282,-6.2766607816138675,925ca84ce5ab,-0.32853544070804874,3327,-2.1908520331935253,19.905957290083336
0.0,1.0,1.0,4,60,4.0,breakout,9899,0.9067582584099404,8976,-0.0019404457199953793,-33.90143205130316,0.36530748663101603,3374,-0.9998035453327585,-5.25432493300391,925ca84ce5ab,-0.27502393669964686,3327,-4.341270441985103,48.65750908152463
0.0,1.0,1.0,8,15,1.0,dip,50976,0.8163449466415568,41614,-0.001453987192326771,-61.06028419256828,0.41423559379055125,6065,-0.9999632331942421,-4.240510363189356,a49eada51528,-0.22195845680850249,3327,-5.48813304182191,48.45918815438897
0.0,1.0,1.0,8,15,1.0,breakout,52920,0.8067838246409675,42695,-0.0016434845081195562,-67.28311525886113,0.4004215950345474,2223,-0.9999637299548277,-4.1911946800504625,a49eada51528,-0.2193771559771249,3327,-5.716925958797708,52.58963107361357
0.0,1.0,1.0,8,15,2.0,dip,23979,0.8202593936360982,19669,-0.0014121246959606058,-40.45610546813358,0.419035029742234,6341,-0.9999032212954474,-5.357228359430682,e149581aa1ef,-0.2804101482104743,3327,-3.3965011986195677,31.074018765253513
0.0,1.0,1.0,8,15,2.0,breakout,25239,0.818217837473751,20651,-0.0017726402297408238,-48.88169513337617,0.39232966926541085,3324,-0.9999631480093025,-5.032775146660541,e149581aa1ef,-0.26342749087795986,3327,-5.556647986568092,78.82540858015095
0.0,1.0,1.0,8,15,3.0,dip,14106,0.8214943995462923,11588,-0.0014276975515628049,-31.330133391371966,0.42017604418363824,6086,-0.9997772479803678,-5.475442489102795,c85f6a41fc6c,-0.28659775855633085,3327,-2.297047861961655,38.02535370554623
0.0,1.0,1.0,8,15,3.0,breakout,14882,0.825964252116651,12292,-0.0018194599326666972,-37.3495572133476,0.39106736088512856,3763,-0.9999249437924558,-5.6557548956005395,c85f6a41fc6c,-0.2960357412664039,3327,-6.066769475178594,73.76680228198697
0.0,1.0,1.0,8,15,4.0,dip,9200,0.8376086956521739,7706,-0.0015058608024236789,-26.874956080911154,0.40916169218790555,5342,-0.999618567982482,-6.1412120947096485,21224e745f54,-0.32144573240713875,3327,-1.8140567748095664,18.113053337793392
0.0,1.0,1.0,8,15,4.0,breakout,9899,0.8229114051924437,8146,-0.0018084263691912049,-31.146156101913697,0.3913577215811441,3938,-0.9997677255771297,-5.848474021000164,21224e745f54,-0.3061231213238866,3327,-3.090974050675663,38.94826301817875
0.0,1.0,1.0,8,60,1.0,dip,50976,0.8958137162586315,45665,-0.0015086897240614175,-65.35046597821267,0.41057702835869925,3638,-0.9999632703289085,-4.057663907274695,9771dc7e0fc9,-0.21238783588984542,3327,-5.8390983398666,47.320104409349774
0.0,1.0,1.0,8,60,1.0,breakout,52920,0.898790627362056,47564,-0.0017074852428372268,-72.00138770041592,0.39708603145235893,1573,-0.9999636289422624,-3.862186879250875,9771dc7e0fc9,-0.2021561006113949,3327,-6.7373465292067225,57.841093011939684
0.0,1.0,1.0,8,60,2.0,dip,23979,0.8955335918929063,21474,-0.001458491370781678,-43.03098751756059,0.41650367886746764,6020,-0.9999291153391858,-5.050005429051988,65800ce38b4e,-0.2643293650776267,3327,-4.248535294007474,38.693357340853346
0.0,1.0,1.0,8,60,2.0,breakout,25239,0.9038789175482388,22813,-0.0018708353894316414,-52.16660660111842,0.388901065182133,2027,-0.9999631333229283,-4.3303835489733835,65800ce38b4e,-0.22666263435237793,3327,-6.587033896993734,69.55115293155956
0.0,1.0,1.0,8,60,3.0,dip,14106,0.8916064086204452,12577,-0.0014824322793619772,-33.54242132051435,0.4157589250218653,5442,-0.999779999307226,-5.3392207914703205,4e0fc76d38cd,-0.27946758902466207,3327,-3.294509337911896,36.359601097553046
0.0,1.0,1.0,8,60,3.0,breakout,14882,0.9093535815078618,13533,-0.0019224023722488972,-39.71651809722409,0.38675829453927435,2866,-0.9999318356308319,-4.739911907436721,4e0fc76d38cd,-0.24809832833225903,3327,-7.323240143936081,96.23042643684579
0.0,1.0,1.0,8,60,4.0,dip,9200,0.8972826086956521,8255,-0.0015480835977306707,-28.397206866527753,0.40678376741368866,5325,-0.9996877486689469,-6.095885753646302,fbfd4f956c43,-0.31907324328353487,3327,-2.253994407387822,20.180394055322868
0.0,1.0,1.0,8,60,4.0,breakout,9899,0.9067582584099404,8976,-0.001935832206970031,-32.99405441316729,0.3869206773618538,3289,-0.9998348152151044,-5.292870411461802,fbfd4f956c43,-0.2770414992529015,3327,-4.573516929210524,51.85184642206263
0.0,1.0,1.0,16,15,1.0,dip,50976,0.8163449466415568,41614,-0.0014440663959622592,-60.21516983547653,0.4215408276060941,6044,-0.9999632901799332,-4.225015483667179,6868fc7b7ace,-0.2211474177465464,3327,-5.399030556690925,46.58985583364035
0.0,1.0,1.0,16,15,1.0,breakout,52920,0.8067838246409675,42695,-0.0016263580303316283,-65.99489269686123,0.4105398758636843,2255,-0.9999637123431123,-4.2563689333314665,6868fc7b7ace,-0.222788532307548,3327,-6.041441476270204,53.389670240568094
0.0,1.0,1.0,16,15,2.0,dip,23979,0.8202593936360982,19669,-0.0013971305324927388,-39.80776089051296,0.4251868422390564,6486,-0.999902172064133,-5.339492668171796,dee43bdcad76,-0.2794818197016168,3327,-3.374682976827163,31.377107149867005
0.0,1.0,1.0,16,15,2.0,breakout,25239,0.818217837473751,20651,-0.0017606432390308011,-48.24320396515238,0.400222749503656,3392,-0.9999631277579306,-5.069670630764362,dee43bdcad76,-0.2653586887795085,3327,-5.527745490057112,79.08544112255112
0.0,1.0,1.0,16,15,3.0,dip,14106,0.8214943995462923,11588,-0.0014220708797919354,-31.12205554658696,0.42518122195374525,6091,-0.9997754929137055,-5.462969738322557,6a665004b27f,-0.2859449049424426,3327,-2.2973768672343553,37.81110165832137
