delta_sigma,grace_min,k_dn,k_h,k_up,n_v,t_fill_min,signal,n_events,fill_rate,n_filled,mean_ret_net,t_stat,bt_n_trades,bt_total_return,bt_sharpe,bt_max_drawdown,exit_types,trial_hash,daily_sr,n_days,skew,kurt
1.5,15,2.0,2.0,0.5,4,15,breakout,18589,0.122814567755124,2283,-0.0008725327310966515,-6.664857537162177,2283,-0.8695965927111945,-2.527101085176146,-0.8714146301599339,"{""tp"": 1634, ""sl"": 516, ""time_maker"": 98, ""time_taker"": 35}",debcb4303340,-0.13227451627848844,2512,-3.707695656495865,32.1589747779096
1.5,15,2.0,2.0,0.5,4,60,dip,17573,0.4036874751038525,7094,-0.0009067551291847148,-14.375666196173572,6500,-0.9970403481234047,-4.730428790651521,-0.9970456121234046,"{""tp"": 5044, ""sl"": 1893, ""time_maker"": 126, ""time_taker"": 31}",db519e6ae739,-0.24760195931365,2512,-1.9040709188046843,17.118905513972116
1.5,15,2.0,2.0,0.5,4,60,breakout,18589,0.38189251707999355,7099,-0.0008324795179154725,-12.504328546813616,5881,-0.9935512328575913,-3.991496726434197,-0.9935564900432646,"{""tp"": 4929, ""sl"": 1587, ""time_maker"": 448, ""time_taker"": 135}",4957bc887145,-0.20892448735561847,2512,-2.3968074785945315,37.671899017155056
1.5,15,2.0,2.0,1.0,1,15,dip,17573,0.1962100950321516,3448,-0.0006250403886436931,-5.781148186278852,3349,-0.8854617460892671,-2.0031723487345743,-0.920484782164452,"{""tp"": 1660, ""sl"": 980, ""time_maker"": 746, ""time_taker"": 62}",823cbf231198,-0.10485083283989025,2512,-0.5006835702614016,35.0174716301594
1.5,15,2.0,2.0,1.0,1,15,breakout,18589,0.122814567755124,2283,-0.0007183371706975735,-4.738826197298712,2283,-0.8174094379301768,-1.8390958592833089,-0.8249290774126542,"{""tp"": 940, ""time_maker"": 757, ""sl"": 452, ""time_taker"": 134}",3ee5242edc4b,-0.09626267686854893,2512,-2.7402663841570183,29.330928847482074
1.5,15,2.0,2.0,1.0,1,60,dip,17573,0.4036874751038525,7094,-0.0008895592279703092,-12.165131407120068,6432,-0.9963070521626971,-3.9662826901333568,-0.9963156957626971,"{""tp"": 2952, ""time_maker"": 2010, ""sl"": 1922, ""time_taker"": 210}",299cbffcbca7,-0.20760472437712668,2512,-0.8497488203176444,18.690951333259797
1.5,15,2.0,2.0,1.0,1,60,breakout,18589,0.38189251707999355,7099,-0.0007436473877583051,-10.299011814202164,5881,-0.9874244328234737,-3.2976902263518877,-0.9874448122623358,"{""time_maker"": 3085, ""tp"": 2252, ""sl"": 1246, ""time_taker"": 516}",a967ed7699c1,-0.1726089953764515,2512,-0.8109777314358255,26.042268569295665
1.5,15,2.0,2.0,1.0,2,15,dip,17573,0.1962100950321516,3448,-0.0005664046723123722,-4.999548912146366,3324,-0.8612657197366568,-1.7830496611335225,-0.9092484992202529,"{""tp"": 1959, ""sl"": 1106, ""time_maker"": 339, ""time_taker"": 44}",47c92dc52c59,-0.09332908478036597,2512,-0.2602895588867847,30.718064107015895
1.5,15,2.0,2.0,1.0,2,15,breakout,18589,0.122814567755124,2283,-0.0006933072720947393,-4.406134701529851,2283,-0.807579542392541,-1.6851638836399496,-0.8348403662019581,"{""tp"": 1147, ""sl"": 548, ""time_maker"": 477, ""time_taker"": 111}",95e5d62cca21,-0.0882055090182181,2512,-1.769862090369557,25.196040401637873
1.5,15,2.0,2.0,1.0,2,60,dip,17573,0.4036874751038525,7094,-0.0008316417863519752,-10.663905562843052,6348,-0.9942464318148497,-3.5102922244629515,-0.9942919673811167,"{""tp"": 3655, ""sl"": 2234, ""time_maker"": 1035, ""time_taker"": 170}",3dc706e602e4,-0.1837370925566325,2512,-0.8328112960764252,15.897906171599166
1.5,15,2.0,2.0,1.0,2,60,breakout,18589,0.38189251707999355,7099,-0.0007182235044060697,-9.23857879444227,5881,-0.9859769471452849,-2.948255715651022,-0.9867148996700175,"{""tp"": 3056, ""time_maker"": 2034, ""sl"": 1583, ""time_taker"": 426}",41d152178651,-0.15431875714850757,2512,-0.19612112690822328,24.813394678004766
1.5,15,2.0,2.0,1.0,4,15,dip,17573,0.1962100950321516,3448,-0.0006014785733651301,-5.158086727367631,3316,-0.8713310464382735,-1.8143313753335217,-0.9143492676101483,"{""tp"": 2111, ""sl"": 1197, ""time_maker"": 118, ""time_taker"": 22}",f723e597d419,-0.09496644453555693,2512,-0.2802157146916601,28.6989947040656
1.5,15,2.0,2.0,1.0,4,15,breakout,18589,0.122814567755124,2283,-0.0007643870009881639,-4.627421183404919,2283,-0.8374450744977585,-1.8252561178673434,-0.8633147004908648,"{""tp"": 1306, ""sl"": 670, ""time_maker"": 239, ""time_taker"": 68}",61cf1116d255,-0.09553827169459105,2512,-1.7879158779172442,19.832750219366424
1.5,15,2.0,2.0,1.0,4,60,dip,17573,0.4036874751038525,7094,-0.0008215398667100875,-10.144819017938048,6314,-0.9934935350177259,-3.296379116942023,-0.9935288741338554,"{""tp"": 4130, ""sl"": 2464, ""time_maker"": 414, ""time_taker"": 86}",1b0321021535,-0.17254036877342585,2512,-0.8915251408158985,16.45639860545436
1.5,15,2.0,2.0,1.0,4,60,breakout,18589,0.38189251707999355,7099,-0.0008021482801984672,-9.534100181356418,5881,-0.9913789493438663,-3.11929581502181,-0.9913929202584428,"{""tp"": 3765, ""sl"": 2016, ""time_maker"": 1057, ""time_taker"": 261}",03839484d2fc,-0.16327140512179536,2512,-0.8958246521094352,24.88667388643742
1.5,15,2.0,2.0,2.0,1,15,dip,17573,0.1962100950321516,3448,-0.0005805156411623195,-4.405516829187796,3335,-0.8681126835591951,-1.566887467965879,-0.9095985354240732,"{""time_maker"": 1468, ""sl"": 1094, ""tp"": 757, ""time_taker"": 129}",da10e99fc42e,-0.08201463847401483,2512,0.21186194219459376,31.44728336178898
1.5,15,2.0,2.0,2.0,1,15,breakout,18589,0.122814567755124,2283,-0.0012720278380077448,-7.086754631010439,2283,-0.9496020383737311,-2.5185011159036947,-0.9497646897138109,"{""time_maker"": 1234, ""sl"": 534, ""tp"": 316, ""time_taker"": 199}",829f790278a6,-0.13182437331341423,2512,-3.158186480914914,42.54757775190973
1.5,15,2.0,2.0,2.0,1,60,dip,17573,0.4036874751038525,7094,-0.0008694324257632576,-10.0928586888825,6386,-0.9958296929814848,-3.426585654864577,-0.995842010985288,"{""time_maker"": 3444, ""sl"": 2102, ""tp"": 1182, ""time_taker"": 366}",1af7ed549e6e,-0.17935569045605732,2512,-0.22993141845161424,20.70213482185077
1.5,15,2.0,2.0,2.0,1,60,breakout,18589,0.38189251707999355,7099,-0.0010199256678063023,-12.316416942200833,5877,-0.9970378127586849,-3.865777451784872,-0.9970474433145382,"{""time_maker"": 4381, ""sl"": 1379, ""time_taker"": 710, ""tp"": 629}",f5a53cc15b69,-0.20234403976740387,2512,-1.2652408339663677,27.376742863782418
1.5,15,2.0,2.0,2.0,2,15,dip,17573,0.1962100950321516,3448,-0.0005099076698591342,-3.5095152359712283,3296,-0.852373034942946,-1.3353863754373936,-0.898862964333913,"{""sl"": 1304, ""tp"": 1098, ""time_maker"": 905, ""time_taker"": 141}",5e665f2e89ed,-0.06989731748049684,2512,-0.05926158629564957,24.97825322586637
1.5,15,2.0,2.0,2.0,2,15,breakout,18589,0.122814567755124,2283,-0.001315536727646439,-6.934378205180781,2283,-0.9547928974734996,-2.5163750828141183,-0.954938796148164,"{""time_maker"": 933, ""sl"": 663, ""tp"": 500, ""time_taker"": 187}",0e52f40cb113,-0.13171309165548398,2512,-2.1328867899467454,31.318714901768633
1.5,15,2.0,2.0,2.0,2,60,dip,17573,0.4036874751038525,7094,-0.0007771554512710948,-8.055072359667795,6261,-0.9937195928169824,-2.858154583058709,-0.9937395627140473,"{""sl"": 2552, ""time_maker"": 2307, ""tp"": 1858, ""time_taker"": 377}",ccc8d73d80c3,-0.14960264832337863,2513,-0.2361089312580695,16.121199235146893
1.5,15,2.0,2.0,2.0,2,60,breakout,18589,0.38189251707999355,7099,-0.0010661355393338538,-11.657395151808245,5873,-0.9978415100175425,-3.7534717788986947,-0.9978493514639305,"{""time_maker"": 3484, ""sl"": 1800, ""tp"": 1131, ""time_taker"": 684}",fff1a5b1294b,-0.19646569218428223,2512,-0.7970395034901483,21.48853766830902
1.5,15,2.0,2.0,2.0,4,15,dip,17573,0.1962100950321516,3448,-0.0004960814689765787,-3.16785897203469,3277,-0.8317892464811629,-1.115191250706128,-0.9091400867798904,"{""sl"": 1490, ""tp"": 1383, ""time_maker"": 494, ""time_taker"": 81}",68f2831ff136,-0.05837177788828879,2512,1.0164461766371453,34.32346419542367
1.5,15,2.0,2.0,2.0,4,15,breakout,18589,0.122814567755124,2283,-0.0015746523369123966,-7.437720208439729,2279,-0.9755427739462219,-2.7313577405754623,-0.9758473243820671,"{""sl"": 856, ""tp"": 719, ""time_maker"": 565, ""time_taker"": 143}",0825156a022e,-0.1429657982569152,2512,-3.2026679307368933,42.589134012080024
1.5,15,2.0,2.0,2.0,4,60,dip,17573,0.4036874751038525,7094,-0.0007137847452979327,-6.787644983518439,6173,-0.9908173089291219,-2.3729407806905107,-0.9930267062095425,"{""sl"": 2989, ""tp"": 2556, ""time_maker"": 1306, ""time_taker"": 243}",d1278be82a7e,-0.12420539715033112,2513,0.30209573362031156,17.816942257550437
1.5,15,2.0,2.0,2.0,4,60,breakout,18589,0.38189251707999355,7099,-0.0012727934616474095,-12.220604348331149,5844,-0.999245442045514,-3.8599991215527183,-0.9992478772603224,"{""sl"": 2425, ""time_maker"": 2289, ""tp"": 1858, ""time_taker"": 527}",aeee36b09af2,-0.2020415881397903,2512,-1.539228133117778,27.43954470642283
1.5,15,2.0,4.0,0.5,1,15,dip,6725,0.24535315985130113,1650,-0.0008969240020382415,-6.885993670530181,1650,-0.7776304748560372,-2.443775847482136,-0.7778280252560371,"{""tp"": 1119, ""sl"": 388, ""time_maker"": 136, ""time_taker"": 7}",aef8be520250,-0.12791307400203236,2512,-5.346496255182457,63.76362553440875
1.5,15,2.0,4.0,0.5,1,15,breakout,7276,0.15173172072567345,1104,-0.0010452846393986298,-5.407629134015767,1104,-0.6919728204222834,-1.9804909320714845,-0.6963333984542757,"{""tp"": 660, ""time_maker"": 212, ""sl"": 194, ""time_taker"": 38}",1f55005761e3,-0.1036636332319205,2512,-7.415602611974702,106.8221443441571
1.5,15,2.0,4.0,0.5,1,60,dip,6725,0.4490706319702602,3020,-0.0009639316559491243,-10.252600004473999,3018,-0.9478579997102387,-3.5912246214398587,-0.9479932794102386,"{""tp"": 1961, ""sl"": 712, ""time_maker"": 319, ""time_taker"": 28}",301a45580be0,-0.1879732878256606,2512,-4.475644137276898,54.07322202146656
1.5,15,2.0,4.0,0.5,1,60,breakout,7276,0.4125893347993403,3002,-0.0009403748205027022,-9.302660911567385,2783,-0.9379194677021355,-3.196925781480859,-0.9380352230510532,"{""tp"": 1605, ""time_maker"": 774, ""sl"": 474, ""time_taker"": 149}",c4a15218011a,-0.16733474327724956,2512,-5.8049398668090415,77.57970858054058
1.5,15,2.0,4.0,0.5,2,15,dip,6725,0.24535315985130113,1650,-0.0008638000896695062,-6.463418470323179,1650,-0.7654112928526595,-2.320701760331352,-0.7656198766526595,"{""tp"": 1185, ""sl"": 416, ""time_maker"": 43, ""time_taker"": 6}",3c8bd1d3f130,-0.12147108185546503,2512,-5.185812126991892,60.64050114616993
1.5,15,2.0,4.0,0.5,2,15,breakout,7276,0.15173172072567345,1104,-0.0010304818761670991,-5.226822853754145,1104,-0.6871821604010538,-1.919098158958334,-0.6917682937025073,"{""tp"": 740, ""sl"": 221, ""time_maker"": 105, ""time_taker"": 38}",b9deab12a9d2,-0.10045018861976288,2512,-7.08138221215927,99.92175907389681
1.5,15,2.0,4.0,0.5,2,60,dip,6725,0.4490706319702602,3020,-0.0009059878645651959,-9.366078318182824,3018,-0.9380776056575986,-3.286385091779801,-0.9382376677575985,"{""tp"": 2110, ""sl"": 773, ""time_maker"": 114, ""time_taker"": 23}",e8c84d2fc120,-0.17201725758813832,2512,-4.278359069726192,49.912611481005236
1.5,15,2.0,4.0,0.5,2,60,breakout,7276,0.4125893347993403,3002,-0.000924935310601136,-8.862434439270633,2783,-0.9357340775981051,-3.0904664934343216,-0.935853511979996,"{""tp"": 1899, ""sl"": 560, ""time_maker"": 423, ""time_taker"": 120}",76a215aa8375,-0.16176240946270157,2512,-5.460247489249141,71.61573871953937
1.5,15,2.0,4.0,0.5,4,15,dip,6725,0.24535315985130113,1650,-0.0008843219477559927,-6.51370947812481,1650,-0.7734140360724034,-2.337250800515387,-0.7736152642724035,"{""tp"": 1206, ""sl"": 429, ""time_maker"": 10, ""time_taker"": 5}",266c89ab4a46,-0.12233729820828809,2512,-5.058091324529049,57.389111955210275
1.5,15,2.0,4.0,0.5,4,15,breakout,7276,0.15173172072567345,1104,-0.0010610096071834512,-5.269771190925803,1104,-0.6978754309758585,-1.9403754008345881,-0.7029406073931358,"{""tp"": 784, ""sl"": 253, ""time_maker"": 44, ""time_taker"": 23}",7c7411f61702,-0.10156389036023984,2512,-6.711745640252275,90.51110136914066
1.5,15,2.0,4.0,0.5,4,60,dip,6725,0.4490706319702602,3020,-0.0009107131805637652,-9.240445419903166,3018,-0.9390559335079278,-3.2537329750684645,-0.9392134232079279,"{""tp"": 2173, ""sl"": 799, ""time_maker"": 36, ""time_taker"": 12}",c93e2905e69d,-0.17030816768714618,2512,-4.150868781387293,47.28541221520273
1.5,15,2.0,4.0,0.5,4,60,breakout,7276,0.4125893347993403,3002,-0.0009406689907666004,-8.689325084961759,2783,-0.9379791410962428,-3.05702743746126,-0.9383271969927813,"{""tp"": 2071, ""sl"": 667, ""time_maker"": 199, ""time_taker"": 65}",50d2577806ba,-0.1600121292781882,2512,-4.993908452577999,62.92863938622182
1.5,15,2.0,4.0,1.0,1,15,dip,6725,0.24535315985130113,1650,-0.0007189031066275675,-4.460832211415081,1650,-0.705304979348893,-1.5352389950181418,-0.705304979348893,"{""tp"": 842, ""sl"": 471, ""time_maker"": 322, ""time_taker"": 15}",57626cbadd46,-0.08035808168858534,2512,-4.120692269566804,64.48038688255136
1.5,15,2.0,4.0,1.0,1,15,breakout,7276,0.15173172072567345,1104,-0.0009191063420921324,-3.9920036134280403,1104,-0.6492832175582903,-1.535577798056705,-0.6509177322922959,"{""tp"": 440, ""time_maker"": 384, ""sl"": 222, ""time_taker"": 58}",74fcfd56c4db,-0.08037581545012835,2512,-5.678229617209545,73.11195651995759
1.5,15,2.0,4.0,1.0,1,60,dip,6725,0.4490706319702602,3020,-0.0008750503054404876,-7.563041537991855,3018,-0.9328640089669114,-2.6027315006719656,-0.9330888937669114,"{""tp"": 1402, ""sl"": 850, ""time_maker"": 708, ""time_taker"": 60}",c3e3f85a3178,-0.13623319315308338,2512,-3.2946119411809955,43.93824323057699
1.5,15,2.0,4.0,1.0,1,60,breakout,7276,0.4125893347993403,3002,-0.0008189959364240605,-6.920015348439897,2783,-0.91567397074137,-2.4955292285180586,-0.9159037288583991,"{""time_maker"": 1277, ""tp"": 964, ""sl"": 532, ""time_taker"": 229}",6c1c95414013,-0.1306219697729452,2512,-3.6219581509375702,59.98157963920133
1.5,15,2.0,4.0,1.0,2,15,dip,6725,0.24535315985130113,1650,-0.0007076785073071655,-4.17402619738142,1650,-0.7009388050489938,-1.4527162268108347,-0.7009388050489938,"{""tp"": 965, ""sl"": 536, ""time_maker"": 128, ""time_taker"": 21}",3277cb0a558a,-0.07603864258477817,2512,-3.8293998536774154,57.35154559650313
1.5,15,2.0,4.0,1.0,2,15,breakout,7276,0.15173172072567345,1104,-0.0009268251912947086,-3.8844633146843526,1104,-0.6531088032844985,-1.4923061372723199,-0.6543173890923104,"{""tp"": 555, ""sl"": 260, ""time_maker"": 227, ""time_taker"": 62}",fce033077ecb,-0.07811087320765277,2512,-4.91266224571108,63.80311941863875
1.5,15,2.0,4.0,1.0,2,60,dip,6725,0.4490706319702602,3020,-0.0008085903809361043,-6.583529472829052,3018,-0.9174347316069105,-2.2933636825011763,-0.9177151569069104,"{""tp"": 1672, ""sl"": 988, ""time_maker"": 309, ""time_taker"": 51}",6a1347d4bb36,-0.12004014146207032,2512,-2.925161629750089,37.73472838921597
1.5,15,2.0,4.0,1.0,2,60,breakout,7276,0.4125893347993403,3002,-0.0008020996948143168,-6.401701730784367,2783,-0.9139578287793334,-2.3771462483507024,-0.9142156200155607,"{""tp"": 1329, ""time_maker"": 824, ""sl"": 652, ""time_taker"": 197}",a4ea13cf4d9f,-0.12442552138823351,2512,-3.137080689701765,51.03487990619335
1.5,15,2.0,4.0,1.0,4,15,dip,6725,0.24535315985130113,1650,-0.0007412378309214017,-4.257094711989294,1650,-0.7176670402729182,-1.4857234261319492,-0.7176670402729182,"{""tp"": 1028, ""sl"": 573, ""time_maker"": 41, ""time_taker"": 8}",aa6ed52de1e2,-0.07776631835901565,2512,-3.674162115995495,52.673398019310014
1.5,15,2.0,4.0,1.0,4,15,breakout,7276,0.15173172072567345,1104,-0.0009931134865104514,-4.00764670138908,1104,-0.6784792579900555,-1.563886660847701,-0.6803120466634374,"{""tp"": 628, ""sl"": 324, ""time_maker"": 116, ""time_taker"": 36}",df2082ab6b43,-0.08185756905074149,2512,-4.333778965544866,54.51806015409016
1.5,15,2.0,4.0,1.0,4,60,dip,6725,0.4490706319702602,3020,-0.0008369305959354152,-6.586653597588801,3018,-0.9245835815167858,-2.324069732593679,-0.9248394440167859,"{""tp"": 1822, ""sl"": 1065, ""time_maker"": 110, ""time_taker"": 23}",3bd1569dea80,-0.12164736958073727,2512,-2.8150406594249633,34.79433879451959
1.5,15,2.0,4.0,1.0,4,60,breakout,7276,0.4125893347993403,3002,-0.0008784127795015559,-6.618351460109575,2783,-0.928861062545974,-2.4766841856970574,-0.9291254814635803,"{""tp"": 1594, ""sl"": 839, ""time_maker"": 459, ""time_taker"": 110}",2bec3dc5e580,-0.1296355751494703,2512,-2.3788897727614557,38.465953276153066
1.5,15,2.0,4.0,2.0,1,15,dip,6725,0.24535315985130113,1650,-0.0004522587748594435,-2.273672064223458,1650,-0.5507234981272487,-0.8342843914150027,-0.5592140784077912,"{""time_maker"": 651, ""sl"": 530, ""tp"": 426, ""time_taker"": 43}",28a429bf0860,-0.04366844087102299,2512,-1.7722542066296665,39.13857860016656
1.5,15,2.0,4.0,2.0,1,15,breakout,7276,0.15173172072567345,1104,-0.0015210454623139733,-5.753371001889102,1104,-0.8215060550352726,-2.0187720256613324,-0.8221113930279409,"{""time_maker"": 600, ""sl"": 268, ""tp"": 151, ""time_taker"": 85}",1ef61f8abb62,-0.10566735724870462,2512,-5.68538918939681,88.68502304390299
1.5,15,2.0,4.0,2.0,1,60,dip,6725,0.4490706319702602,3020,-0.0007681521357115016,-5.518828645687344,3018,-0.9099880879520983,-1.998751949063497,-0.9102896479520984,"{""time_maker"": 1328, ""sl"": 949, ""tp"": 615, ""time_taker"": 128}",0bc4b2000976,-0.10461945854636508,2512,-1.5785906886250052,29.049305029414217
1.5,15,2.0,4.0,2.0,1,60,breakout,7276,0.4125893347993403,3002,-0.0010979305913690746,-8.142833109383124,2783,-0.957052479896432,-2.930401710538465,-0.9572382266002424,"{""time_maker"": 1803, ""sl"": 597, ""time_taker"": 309, ""tp"": 293}",310d9c0eb04a,-0.15338423580951155,2512,-4.046674472261894,60.53606304458123
1.5,15,2.0,4.0,2.0,2,15,dip,6725,0.24535315985130113,1650,-0.00046642338207116614,-2.1502429197623365,1650,-0.5655594480836741,-0.7813596756180126,-0.5655594480836741,"{""sl"": 630, ""tp"": 595, ""time_maker"": 368, ""time_taker"": 57}",f93bcd7a355d,-0.04089823463657971,2512,-1.6217103455180923,30.567204137138205
1.5,15,2.0,4.0,2.0,2,15,breakout,7276,0.15173172072567345,1104,-0.0015034410860512348,-5.3142047776167916,1104,-0.8191451652122124,-1.9785496976138361,-0.8197288451922932,"{""time_maker"": 437, ""sl"": 322, ""tp"": 252, ""time_taker"": 93}",f24c6e82361f,-0.10356202437647154,2512,-4.405933793846222,55.38374100193283
1.5,15,2.0,4.0,2.0,2,60,dip,6725,0.4490706319702602,3020,-0.0006115581211567776,-3.92280231543895,3018,-0.8568270790783746,-1.4543760757476976,-0.8571509018783746,"{""sl"": 1145, ""tp"": 948, ""time_maker"": 809, ""time_taker"": 118}",3821a4c512d0,-0.07612552304892217,2513,-1.1459548796210466,22.302885732377874
1.5,15,2.0,4.0,2.0,2,60,breakout,7276,0.4125893347993403,3002,-0.0010856201754370133,-7.413132100357453,2783,-0.9576068572865354,-2.6922077452241893,-0.9578015170745879,"{""time_maker"": 1429, ""sl"": 747, ""tp"": 528, ""time_taker"": 298}",317cb43183a7,-0.1409165938433,2512,-2.884688606790357,40.07991246968775
1.5,15,2.0,4.0,2.0,4,15,dip,6725,0.24535315985130113,1650,-0.0005136371724097849,-2.235866483943326,1650,-0.6012607781227169,-0.8289771652597662,-0.6012607781227169,"{""sl"": 710, ""tp"": 707, ""time_maker"": 200, ""time_taker"": 33}",133f41e7fa58,-0.04339064795779827,2512,-1.2801839943613609,27.4503470686406
1.5,15,2.0,4.0,2.0,4,15,breakout,7276,0.15173172072567345,1104,-0.0017850023698150776,-5.743623065400723,1104,-0.8688542835424721,-2.026186943517825,-0.8694899811903752,"{""sl"": 412, ""tp"": 342, ""time_maker"": 283, ""time_taker"": 67}",0eb64dc0412f,-0.10605547178771757,2512,-6.091002054795051,99.96498202861329
1.5,15,2.0,4.0,2.0,4,60,dip,6725,0.4490706319702602,3020,-0.0005904790630781628,-3.5472712289047297,3018,-0.8497517626954603,-1.30966691235789,-0.8502818876954602,"{""sl"": 1307, ""tp"": 1207, ""time_maker"": 427, ""time_taker"": 79}",3e9eac5680fc,-0.06855109925529804,2513,-0.3561486419032567,25.16282463599439
1.5,15,2.0,4.0,2.0,4,60,breakout,7276,0.4125893347993403,3002,-0.0012900542005859022,-7.908512777333606,2783,-0.9756305340049904,-2.7561762739019335,-0.9757884100270985,"{""sl"": 1003, ""time_maker"": 957, ""tp"": 821, ""time_taker"": 221}",70a06c00e7f2,-0.14426485966358293,2512,-3.188735033564277,47.95776042894244
1.5,15,4.0,2.0,0.5,1,15,dip,17573,0.1962100950321516,3448,-0.0006746067038805495,-6.619282094562913,3281,-0.9019417040783768,-2.2849669164852644,-0.9287515962637216,"{""tp"": 2405, ""time_maker"": 619, ""sl"": 352, ""time_taker"": 72}",7e9f0fc95866,-0.11960063464155823,2512,-4.120633460857973,47.38664257373181
1.5,15,4.0,2.0,0.5,1,15,breakout,18589,0.122814567755124,2283,-0.0007206344530981497,-5.635299789737939,2283,-0.815218304146909,-2.1205083577499835,-0.8160490617490423,"{""tp"": 1425, ""time_maker"": 580, ""sl"": 141, ""time_taker"": 137}",e7671a1298b1,-0.11099248024988285,2512,-4.15189550215361,40.26372650257068
1.5,15,4.0,2.0,0.5,1,60,dip,17573,0.4036874751038525,7094,-0.0008531917724473634,-12.20008314354553,6277,-0.9957784305195446,-3.8811214421219242,-0.9957816239195446,"{""tp"": 4585, ""time_maker"": 1655, ""sl"": 630, ""time_taker"": 224}",160d6830eb07,-0.20314718092844447,2512,-4.294580249149125,50.32903095777808
1.5,15,4.0,2.0,0.5,1,60,breakout,18589,0.38189251707999355,7099,-0.0007185780455817391,-11.064987135713961,5881,-0.9877720640004298,-3.6305785222994085,-0.9877820324996067,"{""tp"": 3916, ""time_maker"": 2303, ""time_taker"": 510, ""sl"": 370}",d9dd82754796,-0.1900331651413738,2512,-1.9599909542037321,27.652671815155024
1.5,15,4.0,2.0,0.5,2,15,dip,17573,0.1962100950321516,3448,-0.000602013452761116,-5.718390501291225,3259,-0.8665002166411475,-1.9225124833997524,-0.9062864428748272,"{""tp"": 2625, ""sl"": 419, ""time_maker"": 365, ""time_taker"": 39}",8a843d4f49f7,-0.10062890252897516,2512,-4.175567181266323,48.819040970639165
1.5,15,4.0,2.0,0.5,2,15,breakout,18589,0.122814567755124,2283,-0.0007094983916457259,-5.235271170473045,2283,-0.8114743272393878,-1.9532360479026882,-0.8128075035861189,"{""tp"": 1585, ""time_maker"": 418, ""sl"": 175, ""time_taker"": 105}",109c1a29691b,-0.10223704739378317,2512,-3.995010230846006,36.59233087294579
1.5,15,4.0,2.0,0.5,2,60,dip,17573,0.4036874751038525,7094,-0.0007363921442335768,-10.065018570320525,6199,-0.9907351626452121,-3.1426456512351,-0.9907540071452121,"{""tp"": 5167, ""time_maker"": 1001, ""sl"": 775, ""time_taker"": 151}",2bdc85b99f28,-0.16449359140805528,2512,-4.025809748606964,45.535486036089225
1.5,15,4.0,2.0,0.5,2,60,breakout,18589,0.38189251707999355,7099,-0.000675587182321926,-9.638658320085375,5881,-0.9848483549049177,-3.298148813243913,-0.98486312240927,"{""tp"": 4643, ""time_maker"": 1582, ""sl"": 486, ""time_taker"": 388}",629f32e71cf3,-0.1726329989114387,2512,-1.9075903358955721,26.502960694931335
1.5,15,4.0,2.0,0.5,4,15,dip,17573,0.1962100950321516,3448,-0.0006126092187658343,-5.591688570503731,3252,-0.8704349313438906,-1.8866741159080844,-0.9060529430574852,"{""tp"": 2759, ""sl"": 471, ""time_maker"": 185, ""time_taker"": 33}",fffb77189c64,-0.09875303663980331,2512,-3.851784849885711,41.67686408445542
1.5,15,4.0,2.0,0.5,4,15,breakout,18589,0.122814567755124,2283,-0.0007207299245853851,-4.9606914744160555,2282,-0.8176560877735504,-1.8615043566455756,-0.8201292698460447,"{""tp"": 1728, ""time_maker"": 254, ""sl"": 228, ""time_taker"": 73}",d96fc59ee1c6,-0.09743559122741993,2512,-3.9813897280970685,33.90179972045221
1.5,15,4.0,2.0,0.5,4,60,dip,17573,0.4036874751038525,7094,-0.0006951415872742273,-9.068442794998326,6166,-0.9875459213957206,-2.879437736667928,-0.9875722413957205,"{""tp"": 5572, ""sl"": 919, ""time_maker"": 502, ""time_taker"": 101}",e7b0572612d7,-0.15071665949810137,2512,-3.2920387706333973,33.023225987905725
1.5,15,4.0,2.0,0.5,4,60,breakout,18589,0.38189251707999355,7099,-0.0006702271072368187,-8.872980151143798,5874,-0.9851814273078386,-3.1107071637264,-0.985193507754587,"{""tp"": 5212, ""time_maker"": 968, ""sl"": 641, ""time_taker"": 278}",b621f6a17017,-0.16282185456671505,2512,-1.8696233362515031,22.27532744437829
1.5,15,4.0,2.0,1.0,1,15,dip,17573,0.1962100950321516,3448,-0.00046668654474227994,-3.7192098133980567,3238,-0.823392352141455,-1.3610000511624296,-0.9195505706324043,"{""tp"": 1770, ""time_maker"": 1140, ""sl"": 413, ""time_taker"": 125}",ffb671d30fa5,-0.07123799854249205,2512,-1.1932588862295643,39.711841355883585
1.5,15,4.0,2.0,1.0,1,15,breakout,18589,0.122814567755124,2283,-0.0005012243950129555,-3.292699678415955,2283,-0.700421829862278,-1.2650063829312053,-0.8061850156823824,"{""tp"": 972, ""time_maker"": 948, ""time_taker"": 201, ""sl"": 162}",5447679c588a,-0.06621346030555095,2512,-2.1492052642597637,25.45851076337799
1.5,15,4.0,2.0,1.0,1,60,dip,17573,0.4036874751038525,7094,-0.0007305827191815231,-8.745227160534139,6127,-0.9902129669544862,-2.8315743193766316,-0.9926484274862499,"{""tp"": 3136, ""time_maker"": 2856, ""sl"": 730, ""time_taker"": 372}",cf8d7ac722b3,-0.14821137373538312,2512,-2.603818993574763,38.04636785136042
1.5,15,4.0,2.0,1.0,1,60,breakout,18589,0.38189251707999355,7099,-0.0005830213237887746,-7.715765209512691,5881,-0.967969070483637,-2.4815821213102605,-0.9831497455298815,"{""time_maker"": 3608, ""tp"": 2349, ""time_taker"": 730, ""sl"": 412}",b4610000570f,-0.12989194481659602,2512,-0.2586952054318233,19.800963734606324
